0,0.000150
100000,0.064600
200000,0.092750
300000,0.158450
400000,0.224350
500000,0.232550
600000,0.287750
700000,0.489400
800000,0.419450
900000,0.446050
1000000,0.677150
1100000,0.564300
1200000,0.748500
1300000,0.653200
1400000,0.904250
1500000,0.719100
1600000,1.011650
1700000,0.726800
1800000,0.850450
1900000,0.932450
2000000,0.927100
2100000,1.014300
2200000,0.933900
2300000,1.039100
2400000,1.049100
2500000,1.157200
2600000,1.109900
2700000,1.232600
2800000,1.224900
2900000,1.230700
3000000,1.322800
3100000,1.426850
3200000,1.545400
3300000,1.419250
3400000,1.902000
3500000,1.486850
3600000,1.529750
3700000,1.571200
3800000,1.615650
3900000,2.035800
4000000,1.939250
4100000,1.921550
4200000,1.899950
4300000,1.954450
4400000,2.279400
4500000,2.702850
4600000,2.197100
4700000,2.176750
4800000,2.151000
4900000,2.225250
5000000,3.040800
5100000,2.550350
5200000,2.607200
5300000,2.483250
5400000,2.954800
5500000,2.461100
5600000,2.583500
5700000,2.543850
5800000,2.649100
5900000,2.819650
6000000,3.576800
6100000,2.903650
6200000,2.762500
6300000,2.850550
6400000,2.925950
6500000,3.105350
6600000,4.340350
6700000,3.570300
6800000,3.523050
6900000,3.238350
7000000,3.160100
7100000,3.209000
7200000,3.398150
7300000,3.455000
7400000,4.499850
7500000,7.476150
7600000,7.408250
7700000,3.407850
7800000,3.636150
7900000,3.559150
8000000,3.579100
8100000,3.640100
8200000,3.803400
8300000,3.812300
8400000,4.136800
8500000,4.000650
8600000,3.883850
8700000,3.892800
8800000,4.867250
8900000,4.023250
9000000,4.284150
9100000,4.355550
9200000,4.296700
9300000,4.546100
9400000,5.419050
9500000,4.263850
9600000,4.762750
9700000,4.104900
9800000,4.596100
9900000,5.958000
10000000,4.313950
